State,FIPS Code,Overall CVI Score,Baseline: All,Baseline: Health,Baseline: Social Economic,Baseline: Infrastructure,Baseline: Environment,Climate Change: All,Climate Change: Health,Climate Change: Social Economic,Climate Change: Extreme Events
AK,2105042434.6407185,0.39791536003024175,0.4577011313956341,0.44622075615379564,0.5508424382892723,0.5015331511900799,0.3322081799493885,0.31820099820971876,0.057895167648170015,0.4402190196403195,0.45648880734066677
AL,1076152626.9136326,0.6109657176903861,0.5708462848384975,0.6836123321257392,0.5100610708519296,0.6631762759240808,0.42653546045224033,0.6644582948262375,0.841639702461158,0.6196893822581613,0.5320457997593934
AR,5078835063.771137,0.5692290001096457,0.5537964102013666,0.7095878767542323,0.5127550968038661,0.6031507892639135,0.3896918779834544,0.5898057866540178,0.685092557026353,0.5705068700842183,0.5138179328514824
AZ,4015066433.285714,0.5044729470802155,0.5354633008833855,0.5612698826811212,0.6166549455109528,0.4449922877085281,0.5189360876329395,0.4631524753426555,0.5411165612353221,0.36776711735748907,0.48057374743515546
CA,6054897509.709569,0.4648935876689663,0.4938562587643973,0.3536903639706099,0.5873766667153109,0.44938011078363566,0.5849778935880329,0.42627669287505837,0.5045331079691924,0.40849156557793703,0.3658054050780456
CO,8046841274.55084,0.45453712488863196,0.4259301334116989,0.42035493751759007,0.45842489306124495,0.3406938295683647,0.4842468734995958,0.49267978019120934,0.34510421509501193,0.5348823844531355,0.5980527410254809
CT,9005858304.963985,0.4590825543457792,0.39135513903734187,0.3229883208635757,0.4090837440512346,0.36476604850079897,0.46858244273375826,0.5493857747570291,0.37444505608303336,0.5193202448750528,0.7543920233130013
DC,11001006025.055866,0.4782469613831447,0.5207566170469522,0.5099938804968119,0.5579819770935839,0.4500137418039865,0.5650368687934265,0.4215674204980681,0.5902660235267444,0.23735377299899615,0.43708246496846387
DE,10003236060.444954,0.5428820896779337,0.49458722498138774,0.5518577592146173,0.523213892690454,0.3813530917488071,0.5219241562716723,0.6072752426066615,0.6254901742130693,0.584860553622649,0.6114749999842665
FL,12071759997.108128,0.5208571468907806,0.4976328348349657,0.57423606981949,0.5392538004015128,0.4958368966852074,0.38120457243365213,0.5518228962985339,0.628531506692743,0.5977792832657195,0.4291578989371391
GA,13132609412.51803,0.5640974876034308,0.538422577945908,0.5933190859098328,0.5319495357478748,0.5744753870514295,0.4539463030744945,0.5983307004801282,0.830140247025669,0.5065832225517342,0.45826863186298133
HI,15003692724.176638,0.33774948284005296,0.3904447437540942,0.3321946153831939,0.556952003038472,0.3990560858357369,0.2735762707589741,0.2674891349546646,0.39299935660261903,0.15824922084461077,0.251218827416764
IA,19109953909.964848,0.4607789362612733,0.38680989267084587,0.4078705246559734,0.3766288663178257,0.4016699480963615,0.3610702316132228,0.5594043277151766,0.3375230995453283,0.767441508807249,0.5732483747929523
ID,16033597818.154362,0.45611350512024434,0.42115758208018117,0.4171205066361375,0.4806456404217835,0.409624869383392,0.3772393118794117,0.5027214025069954,0.2804436823500468,0.5706844261047935,0.6570360990661459
IL,17078394077.85911,0.4915990705428241,0.47407562811066206,0.4476619354141123,0.4587818463491481,0.44594372803921833,0.5439150026401696,0.5149636604523734,0.47292195305371626,0.5876064048064232,0.4843626234969809
IN,18089260771.35142,0.533463160385069,0.547678766482061,0.6696611911948905,0.5142010124862423,0.5055968393771014,0.5012560228700098,0.514509018922413,0.4092596049781736,0.6158640595112357,0.5184033922778295
KS,20122002029.58831,0.4900019545194324,0.47988481653673076,0.49568621869780305,0.47895889755244997,0.5051540069277287,0.4397401429689413,0.5034914718297013,0.40742099717158337,0.6234761046612656,0.4795773136562551
KY,21110673208.47175,0.5849758057392849,0.5446978827967834,0.6470609338632733,0.5368382809019283,0.5631592821110265,0.4317330343109057,0.6386797029959534,0.791360156923696,0.636998203497082,0.4876807485670823
LA,22060816328.77613,0.6130728507847945,0.6080407235141808,0.7417806987981391,0.5217258113461395,0.6768812180529746,0.49177516585946995,0.6197823538122794,0.7507935503604803,0.6339603255610081,0.47459318551534985
MA,25017152566.810555,0.4806019486510715,0.4209821342282188,0.4050405298410905,0.48060611846775486,0.343817892264276,0.4544639963397538,0.5600950345482082,0.42539251651591214,0.5046005032185039,0.7502920839102089
MD,24091954428.376957,0.4919605445473816,0.4285398529362584,0.41075846003344635,0.4443850089580301,0.3835382202880309,0.4754777224655263,0.5765214666955458,0.6552820673312503,0.4979285571425148,0.5763537756128726
ME,23014772817.335194,0.45026513139958074,0.3980944222942079,0.5028439154317498,0.46580014674894077,0.38053423861641966,0.24319938837972158,0.5198260768734113,0.15497584167018816,0.5839439038898243,0.8205584850602213
MI,26108353773.14255,0.46342789578997096,0.5016484375168461,0.5591519909327893,0.4995126897984642,0.4664388117505517,0.4814902575855793,0.4124671734874707,0.2640524599599804,0.4317127801098921,0.5416362803925396
MN,27079504533.652466,0.4120221062829209,0.3643712248545544,0.29304305234110706,0.4278384514208304,0.35014866119927923,0.386454734457001,0.47555661485407624,0.33148602352553735,0.5710670934929521,0.5241167275437393
MO,29147667652.110554,0.5178382936055599,0.5152614589625333,0.5693811150782095,0.4989555657198396,0.5550660145343288,0.43764314051775516,0.5212740731295953,0.44858417640667914,0.6375535837303249,0.4776844592517819
MS,28076403830.981926,0.6182168719066172,0.5930638803816712,0.7429060104785002,0.5524340484760681,0.7059352210381676,0.3709802415339489,0.6517541939398785,0.7853279472348698,0.6517015674358888,0.5182330671488771
MT,30055274136.26937,0.44709496878272553,0.4142969888596416,0.44104919917566276,0.4575664838118507,0.4073147197017004,0.35125755274935255,0.49082560868017083,0.2772326344358222,0.4955445089045367,0.6996996827001537
NC,37102745056.224144,0.5458086313370482,0.49085927019026265,0.5750871928254524,0.5109950125314797,0.4756151670947094,0.40173970830940936,0.6190744461994288,0.791735592205786,0.5759507933767359,0.48953695301576444
ND,38051211639.541466,0.4053274351471786,0.35833061372046016,0.36739352179050005,0.34239740469602814,0.3981538914547899,0.3253776369405226,0.46798986371613666,0.24203826334244524,0.5942236317464593,0.5677076960595052
NE,31087969718.12782,0.46259147074680695,0.41942179749008257,0.3908943486837108,0.45651700547494706,0.42777669929304724,0.4024991365086252,0.5201510350891062,0.3119147872510228,0.7599966590444089,0.48854165897188667
NH,33011816237.833897,0.40739554894690133,0.34241191422640543,0.3681295441518928,0.38471834628063634,0.30763601196260043,0.30916375451049233,0.49404039524089594,0.19897979867325943,0.4989654864279737,0.7841759006214545
NJ,34019292191.284576,0.49819773599640604,0.4424136026119868,0.4330568159012909,0.4813668615032893,0.30433423411156374,0.5508964989318031,0.5725765805089651,0.5724934751395959,0.5474216286527478,0.5978146377345516
NM,35023716506.499,0.5426746043306866,0.5264877649718765,0.5273663489585638,0.6431746954386387,0.5517222912105284,0.3836877242797754,0.5642570568090999,0.4803761752892683,0.5264834052731865,0.6859115898648446
NV,32019011304.870453,0.46039456537485224,0.5282559802637675,0.5592772097706022,0.6192078156714772,0.46271594880423406,0.47182294680875647,0.36991267885629864,0.40918561245589197,0.3266144250430514,0.3739379990699526
NY,36061628168.07176,0.471524985780184,0.47207497570164014,0.4305949874813071,0.543187404133828,0.41256480307168747,0.5019527081197381,0.4707916658849091,0.42408619116713997,0.47635725945288965,0.511931547034698
OH,39079243146.87839,0.5208998232862028,0.5277039732495156,0.6155893065792047,0.5072893242303583,0.4863249162028861,0.5016123459856131,0.5118276233351191,0.5017660149748301,0.5412085602893335,0.49250829474119373
OK,40094247482.086044,0.5224881351975421,0.5561013138030112,0.6356889801766293,0.5527520656795707,0.5868265776180517,0.44913763173779303,0.4776705637235835,0.511995014094764,0.45084608210279903,0.4701705949731877
OR,41039939008.41127,0.394517117201815,0.42123089901503247,0.4443607660167924,0.5432526897916249,0.2928729208244722,0.40443721942724037,0.35889874145085837,0.2676988573345857,0.39866819874444087,0.4103291682735486
PA,42061563090.30143,0.5290283948457399,0.47367891431903814,0.4875811428967765,0.4490873011702352,0.4067959053251054,0.5512513078840354,0.6028277022146757,0.6425717908913473,0.6046789763903937,0.5612323393622866
RI,44006183970.47951,0.4558058210084266,0.43960924628814735,0.45412712583432635,0.463253590822124,0.3636365652438323,0.4774197032523067,0.477401253968799,0.2827616461788473,0.46842491195255603,0.6810172037749938
SC,45049074841.38259,0.5719695326272495,0.544877261772947,0.651345551911034,0.5274148814070656,0.5998744837735416,0.40087413000014677,0.6080925604329859,0.7548125695852754,0.5763871588112874,0.49307795290239514
SD,46074722278.78829,0.4593339115706499,0.4041557372417115,0.36343103729265536,0.42433061765044133,0.48794734594405204,0.34091394807969744,0.5329048106759011,0.27489503928109893,0.6965123960916442,0.6273069966549604
TN,47101972553.2338,0.5974748054518871,0.5740287468761331,0.6880250511825151,0.533397688239048,0.6295876112889874,0.445104636793982,0.6287362168862258,0.8029358508290276,0.5961918332174273,0.4870809666122227
TX,48228035606.41672,0.5392182513863281,0.532789710868584,0.5378624712883667,0.5382934606128613,0.6016778065773737,0.4533251049957344,0.5477896387433202,0.5582211465811421,0.5752628916807315,0.509884877968087
UT,49036289189.98129,0.42680136427541515,0.37886215911869675,0.3122704637077183,0.38542700621213166,0.3271871484374838,0.4905640181174532,0.49072030448437304,0.24283319218252022,0.5987202730665729,0.6306074482040259
VA,51296745795.64657,0.5050579368633955,0.41621995014543695,0.43512692075193093,0.4258921737404951,0.4120437893516723,0.3918169167376493,0.6235085858206735,0.7995780103108553,0.5412205468311636,0.5297272003200018
VT,50015733019.733696,0.37733522461287194,0.3356210915416642,0.36788510238488115,0.42767821199986616,0.3144914009472874,0.2324296508346223,0.4329540687078156,0.11366228315559063,0.45869814427046146,0.7265017786973951
WA,53042318863.82236,0.4278633399793446,0.44114663850155805,0.420462105418191,0.5337306451327752,0.36009891243920916,0.4502948910160567,0.4101522752830601,0.34084501922608157,0.4411634135048395,0.4484483931182593
WI,55075970110.3428,0.42657177742549723,0.41828545582209725,0.4536514757356707,0.4271049724653088,0.37420532156405917,0.4181800535233505,0.4376202062300305,0.27698504683850483,0.517208990174335,0.5186665816772518
WV,54052718790.27066,0.5543589456134925,0.5088395251834051,0.6254272880805982,0.5092389885036385,0.48708488102015285,0.41360694312923096,0.6150515061869424,0.719876424994602,0.5731010347262736,0.5521770588399515
WY,56022010579.143936,0.46250927121755975,0.40855086932325557,0.41894597756557445,0.44735943081790214,0.424695385846687,0.34320268306285856,0.5344538070766318,0.2648351488136316,0.6117439480552546,0.7267823243610093
