week,travel_status,cases,years_combined,disease,level
1,All,1217,2010 - 2024,Dengue,week
2,All,941,2010 - 2024,Dengue,week
3,All,833,2010 - 2024,Dengue,week
4,All,752,2010 - 2024,Dengue,week
5,All,719,2010 - 2024,Dengue,week
6,All,716,2010 - 2024,Dengue,week
7,All,581,2010 - 2024,Dengue,week
8,All,601,2010 - 2024,Dengue,week
9,All,574,2010 - 2024,Dengue,week
10,All,521,2010 - 2024,Dengue,week
11,All,491,2010 - 2024,Dengue,week
12,All,475,2010 - 2024,Dengue,week
13,All,447,2010 - 2024,Dengue,week
14,All,459,2010 - 2024,Dengue,week
15,All,383,2010 - 2024,Dengue,week
16,All,391,2010 - 2024,Dengue,week
17,All,403,2010 - 2024,Dengue,week
18,All,385,2010 - 2024,Dengue,week
19,All,442,2010 - 2024,Dengue,week
20,All,486,2010 - 2024,Dengue,week
21,All,556,2010 - 2024,Dengue,week
22,All,697,2010 - 2024,Dengue,week
23,All,797,2010 - 2024,Dengue,week
24,All,920,2010 - 2024,Dengue,week
25,All,1104,2010 - 2024,Dengue,week
26,All,1177,2010 - 2024,Dengue,week
27,All,1366,2010 - 2024,Dengue,week
28,All,1590,2010 - 2024,Dengue,week
29,All,1710,2010 - 2024,Dengue,week
30,All,1671,2010 - 2024,Dengue,week
31,All,1949,2010 - 2024,Dengue,week
32,All,1955,2010 - 2024,Dengue,week
33,All,2030,2010 - 2024,Dengue,week
34,All,1787,2010 - 2024,Dengue,week
35,All,1761,2010 - 2024,Dengue,week
36,All,1764,2010 - 2024,Dengue,week
37,All,1679,2010 - 2024,Dengue,week
38,All,1589,2010 - 2024,Dengue,week
39,All,1574,2010 - 2024,Dengue,week
40,All,1512,2010 - 2024,Dengue,week
41,All,1586,2010 - 2024,Dengue,week
42,All,1534,2010 - 2024,Dengue,week
43,All,1402,2010 - 2024,Dengue,week
44,All,1397,2010 - 2024,Dengue,week
45,All,1337,2010 - 2024,Dengue,week
46,All,1274,2010 - 2024,Dengue,week
47,All,1219,2010 - 2024,Dengue,week
48,All,1213,2010 - 2024,Dengue,week
49,All,1160,2010 - 2024,Dengue,week
50,All,972,2010 - 2024,Dengue,week
51,All,852,2010 - 2024,Dengue,week
52,All,817,2010 - 2024,Dengue,week
53,All,46,2010 - 2024,Dengue,week
