year,region,cases,disease
2010,East North Central,3840,Lyme
2010,East South Central,43,Lyme
2010,Middle Atlantic,10942,Lyme
2010,Mountain,28,Lyme
2010,New England,8958,Lyme
2010,Pacific,191,Lyme
2010,South Atlantic,3910,Lyme
2010,West North Central,2101,Lyme
2010,West South Central,145,Lyme
2011,East North Central,4094,Lyme
2011,East South Central,69,Lyme
2011,Middle Atlantic,14114,Lyme
2011,Mountain,52,Lyme
2011,New England,8602,Lyme
2011,Pacific,160,Lyme
2011,South Atlantic,3637,Lyme
2011,West North Central,2291,Lyme
2011,West South Central,78,Lyme
2012,East North Central,2209,Lyme
2012,East South Central,70,Lyme
2012,Middle Atlantic,11607,Lyme
2012,Mountain,44,Lyme
2012,New England,11095,Lyme
2012,Pacific,143,Lyme
2012,South Atlantic,3842,Lyme
2012,West North Central,1735,Lyme
2012,West South Central,86,Lyme
2013,East North Central,2580,Lyme
2013,East South Central,89,Lyme
2013,Middle Atlantic,14139,Lyme
2013,Mountain,109,Lyme
2013,New England,12892,Lyme
2013,Pacific,187,Lyme
2013,South Atlantic,3559,Lyme
2013,West North Central,2667,Lyme
2013,West South Central,85,Lyme
2014,East North Central,1950,Lyme
2014,East South Central,127,Lyme
2014,Middle Atlantic,14509,Lyme
2014,Mountain,59,Lyme
2014,New England,11292,Lyme
2014,Pacific,141,Lyme
2014,South Atlantic,3678,Lyme
2014,West North Central,1663,Lyme
2014,West South Central,42,Lyme
2015,East North Central,2621,Lyme
2015,East South Central,104,Lyme
2015,Middle Atlantic,18217,Lyme
2015,Mountain,41,Lyme
2015,New England,10109,Lyme
2015,Pacific,162,Lyme
2015,South Atlantic,4558,Lyme
2015,West North Central,2200,Lyme
2015,West South Central,57,Lyme
2016,East North Central,3065,Lyme
2016,East South Central,97,Lyme
2016,Middle Atlantic,19675,Lyme
2016,Mountain,83,Lyme
2016,New England,5988,Lyme
2016,Pacific,241,Lyme
2016,South Atlantic,4736,Lyme
2016,West North Central,2464,Lyme
2016,West South Central,80,Lyme
2017,East North Central,3976,Lyme
2017,East South Central,109,Lyme
2017,Middle Atlantic,22147,Lyme
2017,Mountain,113,Lyme
2017,New England,7916,Lyme
2017,Pacific,276,Lyme
2017,South Atlantic,5422,Lyme
2017,West North Central,2707,Lyme
2017,West South Central,77,Lyme
2018,East North Central,2855,Lyme
2018,East South Central,91,Lyme
2018,Middle Atlantic,17846,Lyme
2018,Mountain,69,Lyme
2018,New England,6395,Lyme
2018,Pacific,205,Lyme
2018,South Atlantic,4230,Lyme
2018,West North Central,1920,Lyme
2018,West South Central,55,Lyme
2019,East North Central,3642,Lyme
2019,East South Central,137,Lyme
2019,Middle Atlantic,16860,Lyme
2019,Mountain,88,Lyme
2019,New England,7152,Lyme
2019,Pacific,255,Lyme
2019,South Atlantic,4803,Lyme
2019,West North Central,1941,Lyme
2019,West South Central,67,Lyme
2020,East North Central,2831,Lyme
2020,East South Central,85,Lyme
2020,Middle Atlantic,8140,Lyme
2020,Mountain,29,Lyme
2020,New England,3046,Lyme
2020,Pacific,112,Lyme
2020,South Atlantic,3402,Lyme
2020,West North Central,330,Lyme
2020,West South Central,25,Lyme
2021,East North Central,4499,Lyme
2021,East South Central,150,Lyme
2021,Middle Atlantic,9424,Lyme
2021,Mountain,61,Lyme
2021,New England,3570,Lyme
2021,Pacific,223,Lyme
2021,South Atlantic,4286,Lyme
2021,West North Central,2350,Lyme
2021,West South Central,47,Lyme
2022,Middle Atlantic,31108,Lyme
2022,New England,14450,Lyme
2022,South Atlantic,6870,Lyme
2022,East North Central,6813,Lyme
2022,West North Central,2898,Lyme
2022,Pacific,168,Lyme
2022,East South Central,139,Lyme
2022,Mountain,75,Lyme
2022,West South Central,30,Lyme
2023,East North Central,9371,Lyme
2023,East South Central,210,Lyme
2023,Middle Atlantic,46068,Lyme
2023,Mountain,113,Lyme
2023,New England,21766,Lyme
2023,Pacific,197,Lyme
2023,South Atlantic,8488,Lyme
2023,West North Central,3205,Lyme
2023,West South Central,50,Lyme
